,Distance,Velocity,Predicted SoC,Acceleration,Power Output
0,0.0,1.277863805059306,1.0,0.03813537503532162,37.41523432112784
1,200.0,7.246477186913681,1.0,0.21545742543733878,689.6520602389616
2,400.0,13.193019758700991,1.0,0.269924530743654,2356.0152754147744
3,600.0,17.284949213527053,1.0,0.2630642679867838,2769.460491150308
4,800.0,20.328802738776776,1.0,0.23452805502705668,1712.175334049322
5,1000.0,22.636150181129583,1.0,0.1957753038616505,3393.788362149264
6,1200.0,24.365908132858113,0.9981775046033461,0.15202048768836662,3561.8854418022297
7,1400.0,25.61372115800338,0.9955447408815754,0.1053641766807249,4396.48261104843
8,1600.0,26.436437826391895,0.9927895005992783,0.05744862403133346,4698.611573842165
9,1800.0,26.87105480776131,0.990256611832368,0.009860284746311903,4432.615172512153
10,2000.0,26.94444444443061,0.9877724170580797,2.1059697195989934e-14,4370.350413407281
11,2200.0,26.944444444430765,0.9855815961541725,2.010243823253596e-14,3929.836282832463
12,2400.0,26.944444444430914,0.98251220145071,2.488873304980657e-14,5251.34561967755
13,2600.0,26.9444444444311,0.9803221437019364,1.8666549787355052e-14,3929.8362828325635
14,2800.0,26.944444444431237,0.9793045106862218,2.153832667771748e-14,2167.669616166834
15,3000.0,26.944444444431397,0.9782872594889895,1.5316143415265855e-14,2167.6696161668215
16,3200.0,26.94444444443151,0.9769773684652437,1.2444366524903559e-14,2608.2278036620696
17,3400.0,26.944444444431603,0.9762539102599024,9.572589634541232e-15,1727.100413408792
18,3600.0,26.944444444431674,0.9752378050927949,9.572589634541257e-15,2167.6696161668465
19,3800.0,26.944444444431745,0.9742220821264926,8.615330671087155e-15,2167.6696161668574
20,4000.0,26.94444444443181,0.9737928069184634,1.914517926908261e-14,1286.5201933221579
21,4200.0,26.94444444443195,0.9727778486384827,-3.206817527571354e-14,2167.669616166548
22,4400.0,26.944444444431713,0.9723493383060229,1.0051219116268335e-14,1286.520193322053
23,4600.0,26.944444444431788,0.9698701096415999,-8.471741826569049e-14,4370.350413406752
24,4800.0,26.94444444443116,0.9691493281666305,-2.201695615944447e-14,1727.1004134083935
25,5000.0,26.944444444430996,0.9672568571451107,-9.237548997332081e-14,3489.311136993872
26,5200.0,26.94444444443031,0.9659507904896172,-5.4563760916882404e-14,2608.2278036611183
27,5400.0,26.944444444429905,0.9649381285290093,-4.929883661788424e-14,2167.669616165833
28,5600.0,26.94444444442954,0.9639258496154129,-8.711056567431854e-14,2167.669616165392
29,5800.0,26.944444444428893,0.9626209321007089,-5.4085131435152525e-14,2608.2278036607113
30,6000.0,26.94444444442849,0.9613163978184085,-1.6273402378718214e-14,2608.2278036609346
31,6200.0,26.94444444442837,0.9605982976691269,1.1487107561448101e-14,1727.1004134079756
32,6400.0,26.944444444428456,0.9584155088585703,3.2546804757436384e-14,3929.836282831791
33,6600.0,26.944444444428697,0.957698175634788,8.328152982049974e-14,1727.100413408705
