,latitude,longitude,distances,bearings,altitude,gradient
0,-26.81932,27.81687,0.0,321.0836280191487,1476,0.0
1,-26.818279183342185,27.815928401686886,200.0,72.9727858126866,1476,0.0
2,-26.817817391862942,27.817617980533463,400.0,66.12062243469302,1479,0.015
3,-26.81718849383014,27.81920972049359,600.0,3.176268544999573,1480,0.005
4,-26.81539273847853,27.81932138005635,800.0,4.837499226179489,1476,-0.02
5,-26.813608932314303,27.81949053384285,1000.0,28.863896854483926,1476,0.0
6,-26.812036704627094,27.82046154897861,1200.0,34.836765521389395,1476,0.0
7,-26.810560926665207,27.821612351334352,1400.0,71.76631853650588,1478,0.01
8,-26.810111476728846,27.823140947145117,1600.0,90.94691851520935,1481,0.015
9,-26.810141138868733,27.825152678207385,1800.0,90.55148060403178,1484,0.015
10,-26.810158436550473,27.827167858130327,2000.0,36.80621517850625,1487,0.015
11,-26.808845305269216,27.82826875321368,2200.0,20.933808033809726,1489,0.01
12,-26.807166072383033,27.82898847355742,2400.0,20.276803064227977,1494,0.025
13,-26.805479327453998,27.829686668766428,2600.0,7.975170790564334,1496,0.01
14,-26.803753186332425,27.829957610250684,2800.0,31.540247057694103,1494,-0.01
15,-26.802290017911794,27.830963744402567,3000.0,16.92119938953539,1492,-0.01
16,-26.800569321413516,27.831550226195496,3200.0,353.78016158579544,1491,-0.005
17,-26.798815090173967,27.831336036069587,3400.0,334.2655806920562,1488,-0.015
18,-26.79719587678668,27.83046166351245,3600.0,334.0256579528646,1486,-0.01
19,-26.795579254660314,27.829579337930298,3800.0,332.0216647314836,1484,-0.01
20,-26.79399082586119,27.828634032811642,4000.0,331.77789603303296,1480,-0.02
21,-26.79240600666204,27.82768118179968,4200.0,331.679681526458,1478,-0.01
22,-26.79082264272717,27.826725299127887,4400.0,331.59707961335596,1474,-0.02
23,-26.789240510721598,27.825766873720973,4600.0,331.85053636224785,1477,0.015
24,-26.78765469630193,27.82481636322189,4800.0,341.2182423434574,1474,-0.015
25,-26.78596082706362,27.824171084528647,5000.0,354.8411387144489,1475,0.005
26,-26.784174883132184,27.8239904651698,5200.0,3.165519096122921,1474,-0.005
27,-26.782379314561496,27.82410170211769,5400.0,3.5516178961257765,1472,-0.01
28,-26.780584126228142,27.82422651116403,5600.0,3.585187052416643,1470,-0.01
29,-26.778789004364352,27.824352496292803,5800.0,3.577619239103228,1469,-0.005
30,-26.77699420712962,27.82447819007001,6000.0,3.9052832185219017,1468,-0.005
31,-26.775199846912464,27.824615394428687,6200.0,3.175944373191669,1465,-0.015
32,-26.773403973686214,27.824727008585178,6400.0,3.3747315268525426,1467,0.01
33,-26.77160851627994,27.824845595207112,6600.0,3.8829796544118835,1464,-0.015
34,-26.769814001913602,27.824982018812236,6800.0,3.826919295109974,1461,-0.015
35,-26.76801937144648,27.82511647346811,7000.0,359.4476899714486,1457,-0.02
36,-26.76622164489887,27.825097063797752,7200.0,355.90453424839046,1456,-0.005
37,-26.764427827055716,27.824953212614208,7400.0,357.05317024523464,1453,-0.015
38,-26.76263160654276,27.824849654940632,7600.0,357.24373836635283,1454,0.005
39,-26.760835866445174,27.82475283235816,7800.0,1.0601734391354398,1454,0.0
40,-26.759038442310594,27.824790084199428,8000.0,5.617784664845033,1449,-0.025
41,-26.75724910737557,27.824987197251918,8200.0,7.895731127032491,1447,-0.01
42,-26.75546751847733,27.82526390304213,8400.0,8.819940654198888,1440,-0.035
43,-26.753690143899725,27.825572750707877,8600.0,8.850599663247237,1435,-0.025
44,-26.75191291705221,27.82588265859232,8800.0,8.091690489965004,1428,-0.035
45,-26.750132275808806,27.82616615862868,9000.0,6.996117072720381,1425,-0.015
46,-26.748347571698652,27.82641141427671,9200.0,355.3309544458214,1436,0.055
47,-26.746563868954862,27.826248283307365,9400.0,339.70387117766717,1438,0.01
48,-26.744880135696413,27.825550983722547,9600.0,337.4554337107328,1445,0.035
49,-26.74321903540459,27.824778823864808,9800.0,337.0791352369813,1453,0.04
50,-26.741562406247127,27.82399443169774,10000.0,338.3980863966504,1461,0.04
51,-26.739890358816723,27.823253075606935,10200.0,344.75090503434586,1468,0.035
52,-26.738156558846413,27.82272382549579,10400.0,350.1304108783896,1472,0.02
53,-26.736384588098495,27.822378629954546,10600.0,349.40706245353743,1474,0.01
54,-26.734616607048135,27.822008410375958,10800.0,349.07684465862457,1475,0.005
55,-26.732850953230063,27.821626878495568,11000.0,349.9437551504763,1477,0.01
56,-26.731079982115066,27.821275234688585,11200.0,349.5972486318154,1476,-0.005
57,-26.729311143073584,27.820911652362696,11400.0,349.523031142861,1480,0.02
58,-26.72754259940047,27.820545484412467,11600.0,349.5538822117889,1480,0.0
59,-26.725773766915868,27.820180365065262,11800.0,349.56821236824766,1484,0.02
60,-26.72400485325641,27.819815746780435,12000.0,349.57056923697763,1487,0.015
61,-26.72223592911031,27.819451216227755,12200.0,344.42191743653166,1487,0.0
62,-26.720504694586655,27.81891085618905,12400.0,344.72725128965027,1489,0.01
63,-26.71877380877468,27.818381726096835,12600.0,356.2769736514391,1486,-0.015
64,-26.71698024761681,27.8182510686368,12800.0,350.3394405563121,1487,0.005
65,-26.715211527687238,27.817914008335944,13000.0,345.6923728651926,1484,-0.015
66,-26.71346884897171,27.817416451945544,13200.0,342.3572912029245,1483,-0.005
67,-26.711755180718054,27.81680632529919,13400.0,333.8076063052182,1481,-0.01
68,-26.71014256631589,27.815918331735773,13600.0,330.47662639291633,1479,-0.01
69,-26.708578279963053,27.814926652321503,13800.0,331.8344853993149,1479,0.0
70,-26.70699303488072,27.81397651744036,14000.0,336.23054596153105,1478,-0.005
71,-26.70534904115674,27.81316602147308,14200.0,329.4732905757302,1481,0.015
72,-26.70380686547833,27.812148071063586,14400.0,332.77797614882314,1487,0.03
73,-26.70221451036346,27.81123115376459,14600.0,330.3582441751783,1495,0.04
74,-26.70065127170348,27.810235427009196,14800.0,330.54150773722,1493,-0.01
75,-26.69908519134405,27.809245313031035,15000.0,330.55745841526675,1495,0.01
76,-26.69751888399735,27.808255712842705,15200.0,327.9159252604068,1497,0.01
77,-26.695999652322296,27.807189652322297,15400.0,330.2519661749284,1498,0.005
78,-26.694440302201112,27.80619216621061,15600.0,328.34772321437976,1499,0.005
79,-26.692915220030148,27.805139865694144,15800.0,326.3067371384137,1495,-0.02
80,-26.69141870969967,27.80402306694005,16000.0,324.65787762158504,1498,0.015
81,-26.689957193857836,27.802863045265415,16200.0,327.9261902830522,1498,0.0
82,-26.688440264093387,27.801799094294857,16400.0,326.10260863011376,1493,-0.025
83,-26.68694745292252,27.80067648057905,16600.0,327.0518220895823,1494,0.005
84,-26.685438112387175,27.799581628238524,16800.0,326.2849213613614,1497,0.015
85,-26.683941984738613,27.79846426708327,17000.0,326.2208273262511,1494,-0.015
86,-26.6824473165785,27.79734530401238,17200.0,324.8645874635272,1492,-0.01
87,-26.68098643033971,27.796194715582455,17400.0,327.8111244608514,1490,-0.01
88,-26.6794686764264,27.79512551350555,17600.0,326.5961274755849,1493,0.015
89,-26.67796733149155,27.794017457009552,17800.0,327.1092035526492,1488,-0.025
90,-26.67645740849968,27.792924670053353,18000.0,328.76942137373806,1488,0.0
91,-26.674919409261797,27.791881027713362,18200.0,329.097609413937,1486,-0.01
92,-26.673376194461227,27.79084734282907,18400.0,334.60816951731687,1486,0.0
93,-26.67175182479665,27.789984508692886,18600.0,337.0606035679636,1485,-0.005
94,-26.67009550883928,27.789200049995355,18800.0,338.0054195911031,1482,-0.015
95,-26.668427770079447,27.78844623207591,19000.0,337.88326423755336,1481,-0.005
96,-26.66676147236105,27.787688448520033,19200.0,337.77230381221415,1482,0.005
97,-26.665096502832334,27.786927072642428,19400.0,337.65192115190536,1480,-0.01
98,-26.663433247916196,27.786161924499783,19600.0,337.73265180615397,1478,-0.01
99,-26.66176873589503,27.78539927535554,19800.0,337.7460285042086,1475,-0.015
100,-26.66010406301501,27.784637071379205,20000.0,338.0930757457437,1475,0.0
101,-26.65843531080401,27.783886182111896,20200.0,337.6011554678377,1472,-0.015
102,-26.656772386041332,27.783119302534566,20400.0,337.4657371681101,1472,0.0
103,-26.655111080653704,27.782348036211868,20600.0,338.1358993627353,1469,-0.015
104,-26.653441812488904,27.78159856887257,20800.0,338.03637058598446,1466,-0.015
105,-26.651773711284047,27.780845869612154,21000.0,337.88522630127585,1468,0.01
106,-26.650107396507323,27.780088263260122,21200.0,337.57933232832494,1469,0.005
107,-26.648444713845922,27.779320722219953,21400.0,337.7700087221295,1474,0.025
