,Distance,Velocity,Predicted SoC,Acceleration,Power Output
0,0.0,1.2778638050574997,1.0,0.038135375035278835,37.307423053839855
1,200.0,7.246477186913615,0.9993456632924228,0.3076581211136646,892.7017901343328
2,400.0,15.737723710652439,0.9969800519857727,0.40630357992122307,2707.0678205130857
3,600.0,20.901158873085837,0.9945240425670758,0.34555722842195497,3494.935353916736
4,800.0,24.20774326412575,0.9924363147159578,0.2350869651957106,3451.3027947728933
5,1000.0,26.149989285415092,0.9910135786992161,0.10387496947631165,2707.8428978946927
6,1200.0,26.944444444402457,0.9900200427020733,3.383910435806665e-13,2126.1926823873246
7,1400.0,26.94444444440497,0.988616681810598,-6.796538640517556e-14,2742.9371384285914
8,1600.0,26.944444444404464,0.9870379038462478,-9.093960152805012e-14,3007.249582409651
9,1800.0,26.94444444440379,0.9853423097390046,-8.950371308286814e-14,3183.455675309283
10,2000.0,26.944444444403125,0.9834713031505187,-8.902508360113936e-14,3447.7615097097673
11,2200.0,26.944444444402464,0.9816592754908026,-8.615330671077791e-14,3359.6600055935296
12,2400.0,26.944444444401825,0.9801406216867211,-9.093960152804119e-14,2919.14587501894
13,2600.0,26.94444444440115,0.978915349161611,-8.376015930214111e-14,2478.620729181679
14,2800.0,26.944444444400528,0.9778662616226966,-7.370894018588247e-14,2214.300354903106
15,3000.0,26.94444444439998,0.9772863776839701,-9.764041427220597e-14,1509.426639500132
16,3200.0,26.944444444399256,0.9769412935279386,-3.1302368104912246e-13,1156.9792083526597
17,3400.0,26.944444444396932,0.9765965912717601,-1.0290533857118584e-13,1156.9792083541715
18,3600.0,26.94444444439617,0.9763694817588725,8.155846368618405e-13,980.7528491880091
19,3800.0,26.944444444402222,0.9762013601505397,-4.771935932813601e-13,892.6390086423612
20,4000.0,26.94444444439868,0.9760922268350989,-5.35107760570201e-13,804.5247274528537
21,4200.0,26.94444444439471,0.9756904481990498,1.0051219116254531e-14,1245.0917270232126
22,4400.0,26.944444444394783,0.9753476568734145,-4.786294817264075e-16,1156.9792083547445
23,4600.0,26.94444444439478,0.9747122262775333,-8.663193619247975e-14,1597.5373958486114
24,4800.0,26.944444444394136,0.9740185747775421,-8.328152982039292e-14,1685.6477116395167
25,5000.0,26.94444444439352,0.9732080998774525,-9.28541194549187e-14,1861.8670215688685
26,5200.0,26.94444444439283,0.9726910250757493,-8.902508360110534e-14,1421.315442584111
27,5400.0,26.94444444439217,0.9720571253032257,-8.471741826556591e-14,1597.5373958481644
28,5600.0,26.94444444439154,0.9715408162877572,-8.136701189347949e-14,1421.3154425839587
29,5800.0,26.944444444390935,0.9711420992945706,-8.567467722901471e-14,1245.0917270217315
30,6000.0,26.9444444443903,0.9705093486204518,-8.56746772290127e-14,1597.537395847823
31,6200.0,26.944444444389664,0.9699355849268019,-8.280290033865277e-14,1509.426639498464
32,6400.0,26.94444444438905,0.9694794129471992,-8.806782463764026e-14,1333.2038050944764
33,6600.0,26.944444444388395,0.9691994391732459,-1.5794772896967704e-14,1068.8662490773263
34,6800.0,26.944444444388278,0.9688026387324362,-5.552101988024987e-14,1245.0917270215728
35,7000.0,26.944444444387866,0.9686992494799702,-2.871776890357708e-13,804.5247274534752
36,7200.0,26.944444444385734,0.9683618212375622,-1.675203186041864e-14,1156.9792083531363
37,7400.0,26.94444444438561,0.9678489628404079,2.68032509766697e-14,1421.3154425839143
38,7600.0,26.94444444438581,0.9673950926512618,1.818792030559743e-14,1333.203805094886
39,7800.0,26.944444444385944,0.967000211053827,1.5220417518894767e-13,1245.0917270230457
40,8000.0,26.944444444387074,0.9668401349927352,-1.4837513933514388e-13,892.6390086430079
41,8200.0,26.944444444385972,0.9670320840987137,1.3114447799299277e-13,363.94671104164615
42,8400.0,26.944444444386946,0.9675724465292463,-1.282727011026399e-13,-159.31504612826987
43,8600.0,26.944444444385994,0.968039345328071,-2.158618962585394e-13,-48.28466472100674
44,8800.0,26.94444444438439,0.9677635949960687,1.857082389097745e-13,1068.866249078502
45,9000.0,26.94444444438577,0.9669607926568891,8.615330671072454e-14,1861.867021569013
46,9200.0,26.94444444438641,0.9654551631544104,2.871776890357553e-15,2919.1458750162847
47,9400.0,26.94444444438643,0.963070962990102,9.572589634525184e-15,4240.65521185916
48,9600.0,26.9444444443865,0.9600426222776509,1.100847807970399e-14,5209.6990057595685
49,9800.0,26.944444444386583,0.9572490351383751,6.2221832624414045e-15,4857.3256208739695
50,10000.0,26.94444444438663,0.9543386479788561,8.615330671072728e-15,5033.513195931028
51,10200.0,26.944444444386694,0.951721610419055,1.0529848597977805e-14,4593.040949244637
52,10400.0,26.94444444438677,0.9495151207000032,5.264924298988917e-15,3976.361278661766
53,10600.0,26.94444444438681,0.9476605956687185,1.1487107561430382e-14,3447.7615097066478
54,10800.0,26.944444444386896,0.9462752449913608,5.743553780715209e-15,2742.93713842527
55,11000.0,26.94444444438694,0.9448902796816228,9.093960152799095e-15,2742.9371384253095
56,11200.0,26.944444444387006,0.9436229000247884,9.093960152799119e-15,2566.7266394965623
57,11400.0,26.944444444387074,0.9421801060495689,9.572589634525412e-15,2831.041727018573
58,11600.0,26.944444444387145,0.9406790983337943,6.700812744167806e-15,2919.1458750164848
59,11800.0,26.944444444387194,0.93911987725623,5.743553780715273e-15,3007.249582406544
60,12000.0,26.944444444387237,0.9376782404166553,1.1008478079704291e-13,2831.0417270195126
61,12200.0,26.944444444388054,0.9364127893183924,1.273154421391926e-13,2566.7266394978483
62,12400.0,26.944444444389,0.935323526683645,1.3305899591991274e-13,2302.407586878054
63,12600.0,26.944444444389987,0.9345862630044216,1.2827270110265439e-13,1773.7575868792812
64,12800.0,26.94444444439094,0.933907988638032,1.2731544213920624e-13,1685.6477116408203
65,13000.0,26.944444444391884,0.9334645161271453,1.26358183175758e-13,1333.203805096878
66,13200.0,26.944444444392822,0.9329628255729817,1.2970858954784702e-13,1421.315442586074
67,13400.0,26.944444444393785,0.9325201257555973,1.263581831757669e-13,1333.2038050971887
68,13600.0,26.944444444394723,0.9319606040069277,1.2827270110267693e-13,1509.4266395012344
69,13800.0,26.944444444395675,0.9311670555231208,1.2205051784023796e-13,1861.8670215712032
70,14000.0,26.94444444439658,0.9299050811613996,1.2922996006613866e-13,2566.726639499689
71,14200.0,26.94444444439754,0.9280575042486888,1.2492229473060515e-13,3447.7615097103107
72,14400.0,26.944444444398467,0.9263275096490157,1.239650357671565e-13,3271.5580607878564
73,14600.0,26.944444444399387,0.9244221091098329,1.2396503576716074e-13,3535.8625731158486
74,14800.0,26.944444444400308,0.922575692853221,1.2348640628543847e-13,3447.761509710981
75,15000.0,26.944444444401224,0.9210226546182394,1.2587955369407528e-13,3007.2495824108523
76,15200.0,26.94444444440216,0.9198802031838695,1.8522960942817042e-13,2390.514378308933
77,15400.0,26.944444444403533,0.918855341504093,1.9336631061753143e-13,2214.3003549060995
78,15600.0,26.94444444440497,0.917772265698795,1.8187920305610361e-13,2302.4075868817513
79,15800.0,26.94444444440632,0.9168067803956524,1.9145179269064498e-13,2126.1926823867584
80,16000.0,26.94444444440774,0.9161932989653963,1.9145179269065508e-13,1597.5373958534055
81,16200.0,26.94444444440916,0.915580205068775,1.8714412735512523e-13,1597.5373958536195
82,16400.0,26.94444444441055,0.9145572806552578,1.8666549787340816e-13,2214.300354907448
83,16600.0,26.944444444411936,0.9138863585961535,1.8666549787341775e-13,1685.6477116451565
84,16800.0,26.94444444441332,0.9133330315407364,1.8666549787342737e-13,1509.426639505006
85,17000.0,26.944444444414707,0.9126042819295782,1.828364620196229e-13,1773.7575868843303
86,17200.0,26.944444444416064,0.9117587147756974,1.8762275683689996e-13,1949.9760157221763
87,17400.0,26.944444444417456,0.9113823645557633,1.8140057357446111e-13,1245.0917270285006
88,17600.0,26.944444444418803,0.9108305893785758,1.8570823891001166e-13,1509.4266395059542
89,17800.0,26.94444444442018,0.9102792023667428,1.4741788037187248e-13,1509.4266395058512
90,18000.0,26.944444444421276,0.909610996366843,1.2396503576726143e-13,1685.647711646285
91,18200.0,26.944444444422196,0.9091775943221864,1.2635818317590016e-13,1333.203805101964
92,18400.0,26.944444444423134,0.9086273722721752,1.2396503576727e-13,1509.4266395061559
93,18600.0,26.944444444424054,0.9081361427523051,1.2635818317590887e-13,1421.3154425913947
94,18800.0,26.94444444442499,0.9074694904978182,1.2540092421245936e-13,1685.6477116469798
95,19000.0,26.944444444425923,0.9069204341028025,1.2348640628555585e-13,1509.4266395066386
96,19200.0,26.94444444442684,0.9064303704674203,1.2300777680383308e-13,1421.3154425918337
97,19400.0,26.944444444427752,0.9059406956124998,1.2205051784038326e-13,1421.3154425919815
98,19600.0,26.944444444428658,0.9053928055586046,1.2540092421247643e-13,1509.4266395071331
99,19800.0,26.94444444442959,0.9050797224151477,1.2109325887693754e-13,1156.979208361449
100,20000.0,26.944444444430488,0.9046498187030186,1.2205051784039566e-13,1333.2038051033187
101,20200.0,26.944444444431394,0.9042789087138478,4.738431869097873e-14,1245.0917270295938
102,20400.0,26.944444444431745,0.9039083878810776,2.441010356808027e-14,1245.0917270294449
