,latitude,longitude,distances,altitude,gradient
0,-26.81932,27.81687,0.0,1476,0.0
1,-26.818279183342185,27.815928401686886,200.0,1476,0.0
2,-26.817817391862942,27.817617980533463,400.0,1479,0.0
3,-26.81718849383014,27.81920972049359,600.0,1480,0.0
4,-26.81539273847853,27.81932138005635,800.0,1476,0.0
5,-26.813608932314303,27.81949053384285,1000.0,1476,-0.0009999999999999998
6,-26.812036704627094,27.82046154897861,1200.0,1476,0.0010000000000000002
7,-26.810560926665207,27.821612351334352,1400.0,1478,0.008
8,-26.810111476728846,27.823140947145117,1600.0,1481,0.011
9,-26.810141138868733,27.825152678207385,1800.0,1484,0.013000000000000001
10,-26.810158436550473,27.827167858130327,2000.0,1487,0.016
11,-26.808845305269216,27.82826875321368,2200.0,1489,0.015
12,-26.807166072383033,27.82898847355742,2400.0,1494,0.01
13,-26.805479327453998,27.829686668766428,2600.0,1496,0.005
14,-26.803753186332425,27.829957610250684,2800.0,1494,0.002000000000000001
15,-26.802290017911794,27.830963744402567,3000.0,1492,-0.005999999999999999
16,-26.800569321413516,27.831550226195496,3200.0,1491,-0.009999999999999998
17,-26.798815090173967,27.831336036069587,3400.0,1488,-0.009999999999999998
18,-26.79719587678668,27.83046166351245,3600.0,1486,-0.012
19,-26.795579254660314,27.829579337930298,3800.0,1484,-0.012999999999999998
20,-26.79399082586119,27.828634032811642,4000.0,1480,-0.013999999999999999
21,-26.79240600666204,27.82768118179968,4200.0,1478,-0.009
22,-26.79082264272717,27.826725299127887,4400.0,1474,-0.009999999999999998
23,-26.789240510721598,27.825766873720973,4600.0,1477,-0.004999999999999999
24,-26.78765469630193,27.82481636322189,4800.0,1474,-0.003999999999999999
25,-26.78596082706362,27.824171084528647,5000.0,1475,-0.001999999999999999
26,-26.784174883132184,27.8239904651698,5200.0,1474,-0.006999999999999999
27,-26.782379314561496,27.82410170211769,5400.0,1472,-0.004999999999999999
28,-26.780584126228142,27.82422651116403,5600.0,1470,-0.006999999999999999
29,-26.778789004364352,27.824352496292803,5800.0,1469,-0.009
30,-26.77699420712962,27.82447819007001,6000.0,1468,-0.004999999999999999
31,-26.775199846912464,27.824615394428687,6200.0,1465,-0.005999999999999998
32,-26.773403973686214,27.824727008585178,6400.0,1467,-0.007999999999999998
33,-26.77160851627994,27.824845595207112,6600.0,1464,-0.011
34,-26.769814001913602,27.824982018812236,6800.0,1461,-0.008999999999999998
35,-26.76801937144648,27.82511647346811,7000.0,1457,-0.013999999999999999
36,-26.76622164489887,27.825097063797752,7200.0,1456,-0.009999999999999998
37,-26.764427827055716,27.824953212614208,7400.0,1453,-0.0069999999999999975
38,-26.76263160654276,27.824849654940632,7600.0,1454,-0.007999999999999998
39,-26.760835866445174,27.82475283235816,7800.0,1454,-0.009
40,-26.759038442310594,27.824790084199428,8000.0,1449,-0.013000000000000001
41,-26.75724910737557,27.824987197251918,8200.0,1447,-0.019
42,-26.75546751847733,27.82526390304213,8400.0,1440,-0.026000000000000002
43,-26.753690143899725,27.825572750707877,8600.0,1435,-0.024
44,-26.75191291705221,27.82588265859232,8800.0,1428,-0.011000000000000001
45,-26.750132275808806,27.82616615862868,9000.0,1425,-0.002000000000000001
46,-26.748347571698652,27.82641141427671,9200.0,1436,0.01
47,-26.746563868954862,27.826248283307365,9400.0,1438,0.025
48,-26.744880135696413,27.825550983722547,9600.0,1445,0.036000000000000004
49,-26.74321903540459,27.824778823864808,9800.0,1453,0.032
50,-26.741562406247127,27.82399443169774,10000.0,1461,0.034
51,-26.739890358816723,27.823253075606935,10200.0,1468,0.029000000000000005
52,-26.738156558846413,27.82272382549579,10400.0,1472,0.022000000000000002
53,-26.736384588098495,27.822378629954546,10600.0,1474,0.016
54,-26.734616607048135,27.822008410375958,10800.0,1475,0.008
55,-26.732850953230063,27.821626878495568,11000.0,1477,0.008
56,-26.731079982115066,27.821275234688585,11200.0,1476,0.006
57,-26.729311143073584,27.820911652362696,11400.0,1480,0.009
58,-26.72754259940047,27.820545484412467,11600.0,1480,0.01
59,-26.725773766915868,27.820180365065262,11800.0,1484,0.011
60,-26.72400485325641,27.819815746780435,12000.0,1487,0.009
61,-26.72223592911031,27.819451216227755,12200.0,1487,0.006
62,-26.720504694586655,27.81891085618905,12400.0,1489,0.003
63,-26.71877380877468,27.818381726096835,12600.0,1486,-0.003
64,-26.71698024761681,27.8182510686368,12800.0,1487,-0.004
65,-26.715211527687238,27.817914008335944,13000.0,1484,-0.007999999999999998
66,-26.71346884897171,27.817416451945544,13200.0,1483,-0.006999999999999999
67,-26.711755180718054,27.81680632529919,13400.0,1481,-0.008
68,-26.71014256631589,27.815918331735773,13600.0,1479,-0.006
69,-26.708578279963053,27.814926652321503,13800.0,1479,-0.0019999999999999996
70,-26.70699303488072,27.81397651744036,14000.0,1478,0.006
71,-26.70534904115674,27.81316602147308,14200.0,1481,0.016
72,-26.70380686547833,27.812148071063586,14400.0,1487,0.014000000000000002
73,-26.70221451036346,27.81123115376459,14600.0,1495,0.017
74,-26.70065127170348,27.810235427009196,14800.0,1493,0.016
75,-26.69908519134405,27.809245313031035,15000.0,1495,0.011
76,-26.69751888399735,27.808255712842705,15200.0,1497,0.004
77,-26.695999652322296,27.807189652322297,15400.0,1498,0.0019999999999999996
